Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended
,Family Leisure,Economy Class,Abuja to London,September 2021,,,,,1.0,,3,no
,Business,Business Class,Mykonos to New York via London,August 2021,,,,,,,1,no
,Solo Leisure,Economy Class,Boston to Tirana London,September 2021,2.0,3.0,3.0,3.0,1.0,,3,no
,Couple Leisure,Economy Class,Washington Dulles to London ,August 2021,1.0,1.0,1.0,1.0,1.0,,1,no
,Business,Economy Class,Gatwick to Catania,August 2021,,,,,,,1,no
Boeing 787-8,Solo Leisure,Economy Class,London to Moscow Domodedovo,August 2021,5.0,4.0,1.0,1.0,3.0,1.0,2,yes
,Solo Leisure,Economy Class,London to Athens,August 2021,4.0,5.0,4.0,,5.0,5.0,5,yes
A320,Family Leisure,Economy Class,London to Corfu,August 2021,4.0,5.0,4.0,4.0,4.0,4.0,4,yes
,Family Leisure,Business Class,Moscow to London Heathrow,August 2021,4.0,1.0,2.0,3.0,1.0,,1,no
,Business,Business Class,London Heathrow to Munich,August 2021,3.0,2.0,2.0,,1.0,,2,no
A330,Couple Leisure,Business Class,London Heathrow to Nice,July 2021,3.0,4.0,5.0,,3.0,,3,no
,Family Leisure,Economy Class,London to Hong Kong,April 2021,,,,,,,1,no
A230,Solo Leisure,Premium Economy,Belfast to Budapest via Heathrow,July 2021,1.0,1.0,,,1.0,,1,no
Boeing 777-200,Family Leisure,Business Class,Cancun to Gatwick,July 2021,4.0,5.0,5.0,4.0,4.0,4.0,4,yes
Boeing 777-200,Family Leisure,Business Class,Gatwick to Cancun,July 2021,5.0,5.0,4.0,4.0,4.0,4.0,5,yes
,Family Leisure,Economy Class,,July 2021,,,,,,,1,no
,Family Leisure,Economy Class,Bucharest to Toronto via London,July 2021,3.0,3.0,,,1.0,,2,no
,Business,Business Class,Seattle to Bangalore via London,June 2021,3.0,4.0,,,3.0,,3,yes
Boeing 787,Solo Leisure,Business Class,London to Mexico City,June 2021,1.0,2.0,3.0,3.0,3.0,1.0,1,no
A320,Couple Leisure,Business Class,Preveza to London,June 2021,4.0,3.0,3.0,,5.0,,4,yes
,Solo Leisure,Economy Class,London to Accra,June 2021,4.0,4.0,4.0,4.0,4.0,,4,yes
A320,Couple Leisure,Business Class,London Heathrow to Preveza,May 2021,4.0,4.0,4.0,,5.0,,4,yes
,Family Leisure,Economy Class,Durban to Cape Town,January 2021,3.0,3.0,,,3.0,,1,no
A321NEO,Solo Leisure,Economy Class,Aberdeen to London Heathrow,May 2021,4.0,5.0,4.0,3.0,4.0,5.0,4,yes
,Business,Business Class,Malaga to London,April 2021,3.0,3.0,,,4.0,,4,yes
Boeing 737-800,Solo Leisure,Economy Class,Johannesburg to Cape Town,April 2021,4.0,5.0,4.0,,5.0,,4,yes
,Solo Leisure,Economy Class,Gatwick to Cancun,December 2020,2.0,4.0,1.0,3.0,3.0,,1,no
,Couple Leisure,Economy Class,Bridgetown to London,February 2021,1.0,1.0,1.0,,1.0,,1,no
,Family Leisure,Economy Class,Ottawa to Ahmedabad,November 2020,1.0,1.0,,,1.0,,1,no
,Solo Leisure,Economy Class,Antigua to London,January 2021,2.0,2.0,,,1.0,,1,no
,Solo Leisure,Economy Class,Sofia to London Heathrow,December 2020,5.0,5.0,5.0,5.0,5.0,5.0,3,no
,Solo Leisure,Economy Class,Mumbai to London,February 2021,5.0,5.0,5.0,5.0,4.0,,5,yes
Boeing 787-9,Business,First Class,Mexico City to London Heathrow,January 2021,2.0,5.0,1.0,2.0,3.0,1.0,3,no
,Family Leisure,Economy Class,London to Maldives,December 2020,,,,,,,1,no
,Solo Leisure,Economy Class,Heathrow to Belfast,December 2020,5.0,4.0,4.0,,5.0,1.0,3,yes
,Solo Leisure,Economy Class,London to Paris,September 2020,5.0,5.0,,,5.0,,5,yes
,Solo Leisure,Economy Class,London to Cairo,December 2020,5.0,5.0,,,5.0,,4,yes
A350,Solo Leisure,Premium Economy,London Heathrow to Dubai,July 2020,4.0,1.0,1.0,5.0,5.0,4.0,5,no
A321,Solo Leisure,Business Class,London to Tenerife,December 2020,3.0,5.0,3.0,,4.0,5.0,4,yes
Boeing 747,Family Leisure,Economy Class,London Heathrow to Lahore,December 2020,1.0,1.0,1.0,1.0,1.0,1.0,1,no
,Solo Leisure,Economy Class,London to Venice,October 2020,5.0,4.0,3.0,,3.0,,5,yes
,Couple Leisure,Economy Class,Munich to London,November 2019,5.0,5.0,5.0,5.0,5.0,5.0,5,yes
,Family Leisure,Economy Class,London to Bangalore,October 2020,5.0,5.0,1.0,5.0,5.0,3.0,2,no
A320neo,Solo Leisure,Business Class,Warsaw to London-Heathrow,September 2020,5.0,5.0,5.0,5.0,4.0,5.0,5,yes
A321,Couple Leisure,Economy Class,London to Santorini,August 2020,4.0,4.0,3.0,,1.0,,2,no
A321,Couple Leisure,Economy Class,London to Paris,February 2020,2.0,3.0,2.0,,5.0,,1,no
A319,Business,Economy Class,Berlin to London,August 2020,1.0,1.0,2.0,,2.0,,2,no
A320,Solo Leisure,Economy Class,Newcastle to London Heathrow,July 2020,5.0,5.0,3.0,,5.0,,5,yes
,Solo Leisure,Premium Economy,London to Singapore,March 2020,,,,,,,1,no
,Family Leisure,Economy Class,Austin to London,July 2020,,,,,,,1,no
,Solo Leisure,Economy Class,London to Frankfurt,April 2020,,,,,,,1,no
,Business,Economy Class,London Heathrow to Lyon,February 2020,1.0,1.0,,,1.0,,1,no
Embraer 195,Business,Economy Class,London City to Edinburgh,November 2019,3.0,4.0,,,5.0,,3,yes
,Business,First Class,San Francisco to Edinburgh via London,May 2020,,,,,,,1,no
,Business,Business Class,Rome to Los Angeles via London,June 2020,,,,,,,1,no
,Couple Leisure,Economy Class,Chicago to Seville via Miami / Madrid,March 2020,,,,,,,1,no
A350,Solo Leisure,Premium Economy,London to Tel Aviv,April 2020,,,,,,,1,no
,Couple Leisure,Business Class,San Diego to Barcelona via London,December 2019,,,,,,,1,no
,Solo Leisure,Economy Class,Toronto to London,May 2020,,,,,,,1,no
,Family Leisure,Premium Economy,Tokyo to London,March 2020,3.0,2.0,1.0,3.0,2.0,,1,no
,Couple Leisure,Economy Class,Los Angeles to Paris via London,March 2020,3.0,3.0,2.0,3.0,5.0,,1,no
A350,Couple Leisure,Business Class,London Heathrow to Toronto ,February 2020,5.0,5.0,5.0,5.0,5.0,,5,yes
Boeing 747-400,Couple Leisure,Business Class,Las Vegas to London Heathrow ,February 2020,5.0,5.0,5.0,2.0,5.0,,5,yes
,Solo Leisure,Economy Class,Sydney to London via Singapore,March 2020,1.0,1.0,1.0,2.0,1.0,1.0,1,no
,Business,Economy Class,Zurich to London,April 2020,,,,,,,1,no
,Couple Leisure,Business Class,Vienna to London,February 2020,3.0,3.0,,,3.0,,1,no
A321neo,Solo Leisure,Economy Class,London-Heathrow to Warsaw,March 2020,5.0,5.0,,,4.0,,3,yes
,Business,Economy Class,Johannesburg to London,March 2020,2.0,3.0,2.0,1.0,1.0,1.0,2,no
,Business,Economy Class,London to Stockholm,April 2020,,,,,1.0,,1,no
,Solo Leisure,Economy Class,London to Budapest,March 2020,,,,,,,1,no
Boeing 747,Solo Leisure,Business Class,Nashville to London via Chicago,March 2020,3.0,5.0,4.0,,3.0,,1,no
,Solo Leisure,Economy Class,Vancouver to London,March 2020,,,,,1.0,,1,no
,Family Leisure,Economy Class,London to Marrakesh,August 2019,,,,,,,1,no
Boeing 777,Couple Leisure,Economy Class,Seattle to Heathrow,March 2020,,,,,,,5,no
,Couple Leisure,Premium Economy,Mumbai to London Heathrow,March 2020,5.0,5.0,4.0,2.0,5.0,,5,yes
,Business,Economy Class,London to Valencia,March 2020,,,,,,,1,no
,Couple Leisure,Economy Class,London Gatwick to Funchal,March 2020,1.0,4.0,,,1.0,,1,no
Boeing 747-400,Business,Business Class,Chicago to London Heathrow,March 2020,1.0,1.0,1.0,1.0,1.0,1.0,1,no
Boeing 747-400,Business,Business Class,London to New York JFK,February 2020,1.0,1.0,1.0,1.0,1.0,1.0,1,no
,Solo Leisure,Economy Class,London to Madrid,March 2020,,,,,,,1,no
,Business,Economy Class,Frankfurt to Buenos Aires via London,October 2019,2.0,3.0,3.0,2.0,1.0,,1,no
,Business,Business Class,London to Paris CDG,March 2020,,,,,,,1,no
,Couple Leisure,Economy Class,London City to Berlin,March 2020,,,,,1.0,,1,no
Boeing 787,Solo Leisure,Economy Class,London to Beijing,January 2020,3.0,5.0,4.0,5.0,4.0,,4,yes
A380,Family Leisure,Economy Class,Hong Kong to London,January 2020,5.0,5.0,5.0,3.0,5.0,,5,yes
Boeing 777-200,Couple Leisure,Economy Class,Mumbai to London,March 2020,4.0,5.0,5.0,4.0,5.0,,5,yes
Boeing 777-200,Couple Leisure,Economy Class,London to Delhi,February 2020,4.0,5.0,5.0,4.0,2.0,,4,yes
A319,Business,Business Class,Paris to London,February 2020,1.0,4.0,,,1.0,,1,no
,Solo Leisure,Economy Class,Singapore to London,February 2020,3.0,3.0,3.0,3.0,1.0,,1,no
,Solo Leisure,Economy Class,Gatwick to Malaga,February 2020,2.0,3.0,1.0,,3.0,,3,no
Boeing 747-400,Solo Leisure,Premium Economy,Vancouver to London,February 2020,4.0,5.0,5.0,5.0,4.0,,5,yes
Boeing 787,Business,Business Class,London to Seattle,February 2020,,,,,,,1,no
Boeing 777,Solo Leisure,First Class,London Heathrow to Nairobi,February 2020,3.0,5.0,1.0,3.0,2.0,,3,no
,Couple Leisure,Premium Economy,Dubai to London,February 2020,1.0,1.0,1.0,,1.0,,1,no
,Couple Leisure,Business Class,London to Cape Town,February 2020,4.0,2.0,1.0,3.0,3.0,,3,no
Boeing 787,Solo Leisure,Economy Class,Rio de Janeiro to London ,February 2020,1.0,3.0,1.0,1.0,1.0,,2,no
,Solo Leisure,Economy Class,Johannesburg to Dublin via London,February 2020,1.0,1.0,,,1.0,,1,no
Boeing 747-400,Couple Leisure,Business Class,Las Vegas to Paris via London,February 2020,1.0,4.0,3.0,1.0,4.0,,1,no
A320,Couple Leisure,Economy Class,Geneva to Gatwick,January 2020,,,,,1.0,,1,no
,Solo Leisure,Economy Class,Mexico City to Manchester via London,January 2020,5.0,5.0,4.0,5.0,5.0,,4,yes
A321,Solo Leisure,Business Class,London Heathrow to Sofia,October 2019,4.0,4.0,4.0,,5.0,2.0,4,yes
,Solo Leisure,Economy Class,Manchester to Melbourne via London / Singapore,July 2019,2.0,3.0,2.0,,1.0,,1,no
A321neo,Business,Business Class,Madrid to London ,January 2020,2.0,3.0,2.0,1.0,3.0,1.0,2,no
A320,Family Leisure,Economy Class,Prague to London,January 2020,5.0,5.0,,,3.0,3.0,5,yes
A380-800,Couple Leisure,Business Class,Johannesburg to London,January 2020,3.0,4.0,3.0,3.0,3.0,,3,yes
Boeing 777-200,Business,Business Class,Las Vegas to Gatwick,January 2020,2.0,2.0,2.0,4.0,4.0,,1,no
Boeing 747-400,Business,Business Class,San Diego to Stockholm via London,January 2020,5.0,5.0,5.0,3.0,1.0,1.0,3,no
A320,Couple Leisure,Business Class,Cape Town to Johannesburg,January 2020,4.0,4.0,3.0,,4.0,,4,yes
,Solo Leisure,Economy Class,New York to London Heathrow via Copenhagen ,December 2019,5.0,5.0,5.0,5.0,5.0,1.0,5,yes
Boeing 787-9,Business,Business Class,Phoenix to London,January 2020,3.0,5.0,4.0,4.0,3.0,,5,yes
Boeing 777-200,Solo Leisure,Economy Class,London Heathrow to Bangkok,January 2020,2.0,4.0,4.0,1.0,4.0,1.0,2,no
Boeing 777-200ER,Solo Leisure,Economy Class,Mumbai to Boston via London,January 2020,2.0,5.0,5.0,2.0,1.0,1.0,3,yes
,Family Leisure,Economy Class,"Orlando, Florida to Accra, Ghana",December 2019,1.0,1.0,1.0,1.0,1.0,1.0,1,no
Boeing 787 / A320,Solo Leisure,Economy Class,Toronto to Geneva via London,January 2020,4.0,5.0,4.0,3.0,4.0,,3,yes
Boeing 777-300,Solo Leisure,First Class,Hong Kong to London,January 2020,4.0,5.0,5.0,4.0,4.0,,4,yes
Boeing 787,Business,Economy Class,San Jose to Amsterdam via London,January 2020,1.0,1.0,2.0,3.0,2.0,,3,no
Boeing 777,Couple Leisure,Business Class,Singapore to Paris via London,January 2020,3.0,4.0,4.0,4.0,1.0,,2,no
A321neo,Solo Leisure,Economy Class,Warsaw to London,January 2020,5.0,5.0,5.0,,4.0,,5,yes
Boeing 747-400,Family Leisure,Economy Class,New York  to London Heathrow,January 2020,4.0,5.0,3.0,4.0,5.0,,4,yes
,Family Leisure,Economy Class,London to Los Angeles,December 2019,2.0,1.0,2.0,,1.0,1.0,3,no
Boeing 737-800,Couple Leisure,Business Class,Johannesburg to Cape Town,January 2020,3.0,3.0,3.0,,4.0,,4,yes
,Business,Business Class,London to Bangkok,January 2020,2.0,1.0,1.0,,2.0,,2,no
A380,Couple Leisure,Business Class,London to Johannesburg,January 2020,4.0,4.0,4.0,3.0,4.0,2.0,4,yes
Boeing 777-200 / 747-400,Solo Leisure,Economy Class,Boston to Mumbai via London,December 2019,2.0,5.0,4.0,2.0,1.0,,5,yes
,Couple Leisure,Business Class,Los Angeles to London,January 2020,1.0,1.0,1.0,,1.0,,1,no
,Solo Leisure,Premium Economy,Gatwick to Cancun,January 2020,3.0,1.0,1.0,2.0,3.0,1.0,2,no
A320,Solo Leisure,Business Class,London Gatwick to Glasgow,January 2020,4.0,5.0,4.0,,5.0,,4,yes
Boeing 787-8,Solo Leisure,Business Class,Rio De Janeiro to London Heathrow,December 2019,5.0,5.0,5.0,,4.0,,5,yes
A320,Business,Business Class,Gatwick to Tirana,January 2020,1.0,3.0,2.0,1.0,4.0,5.0,2,yes
A320,Couple Leisure,Business Class,Keflavik to London Heathrow,January 2020,3.0,5.0,5.0,,4.0,,5,yes
,Couple Leisure,Economy Class,London Heathrow to Vancouver,January 2020,1.0,3.0,1.0,1.0,2.0,1.0,1,no
,Couple Leisure,Economy Class,Tokyo to London Heathrow,January 2020,2.0,1.0,1.0,1.0,5.0,1.0,1,no
A380,Couple Leisure,Business Class,London to Hong Kong,December 2019,3.0,4.0,3.0,4.0,1.0,,3,no
Boeing 747,Family Leisure,Business Class,Los Angeles to London Heathrow,January 2020,1.0,3.0,2.0,2.0,1.0,1.0,1,no
A320,Solo Leisure,Economy Class,Istanbul to London,January 2020,2.0,2.0,,,1.0,,1,no
,Solo Leisure,Economy Class,London to Bucharest,December 2019,2.0,2.0,1.0,,1.0,,1,no
Boeing 787-9,Solo Leisure,Business Class,London to Rio De Janeiro,December 2019,5.0,5.0,5.0,5.0,4.0,2.0,5,yes
A321neo,Family Leisure,Economy Class,London to Athens,December 2019,3.0,1.0,1.0,,3.0,,4,no
,Solo Leisure,Economy Class,Copenhagen to London,December 2019,2.0,1.0,1.0,,1.0,,1,no
A320,Solo Leisure,Economy Class,Budapest to Billund via London,December 2019,3.0,3.0,2.0,1.0,4.0,,3,yes
,Solo Leisure,Economy Class,Cape Town to Brussels via London,December 2019,3.0,5.0,4.0,3.0,4.0,3.0,4,yes
Boeing 777-300ER,Solo Leisure,Economy Class,Sydney to Toulouse via Singapore / London,December 2019,5.0,5.0,5.0,2.0,4.0,1.0,5,yes
A321neo,Solo Leisure,Business Class,Sofia to London,October 2019,3.0,4.0,4.0,,3.0,,4,yes
,Couple Leisure,Business Class,Edinburgh to Barbados via Gatwick,December 2019,5.0,5.0,5.0,5.0,5.0,,5,yes
A320,Solo Leisure,Economy Class,London to Munich,December 2019,2.0,1.0,,,1.0,,1,no
,Family Leisure,Economy Class,Hong Kong to London,December 2019,,,,,,,2,no
,Couple Leisure,Economy Class,London to Paris,August 2019,2.0,2.0,,,1.0,,1,no
Boeing 777 - 200,Business,Economy Class,New York to London,December 2019,2.0,2.0,1.0,1.0,5.0,,5,no
,Family Leisure,Premium Economy,Austin to London,October 2019,,,,,,,1,no
,Couple Leisure,Economy Class,Frankfurt to London,December 2019,1.0,1.0,1.0,1.0,1.0,1.0,1,no
,Solo Leisure,Economy Class,London to Glasgow,December 2019,1.0,1.0,1.0,1.0,1.0,1.0,1,no
Boeing 747-400,Business,Business Class,London to San Francisco ,December 2019,3.0,5.0,4.0,4.0,5.0,5.0,4,yes
A319,Couple Leisure,Economy Class,Heathrow to Belfast,December 2019,2.0,5.0,5.0,,1.0,,3,no
A380,Solo Leisure,Business Class,London to Singapore,October 2019,4.0,5.0,5.0,1.0,5.0,1.0,5,yes
,Business,Economy Class,Toulouse to London,November 2019,1.0,1.0,,,3.0,,1,no
A319,Solo Leisure,Business Class,London Heathrow to Stockholm,November 2019,3.0,5.0,5.0,,5.0,,4,yes
A380,Family Leisure,Economy Class,Johannesburg to London,November 2019,1.0,3.0,3.0,3.0,2.0,,1,no
A380,Couple Leisure,Business Class,Johannesburg to London,December 2019,3.0,3.0,3.0,3.0,3.0,,4,yes
Boeing 747-400,Solo Leisure,First Class,London Heathrow to Miami,November 2019,4.0,5.0,5.0,5.0,5.0,1.0,5,yes
A319,Solo Leisure,Business Class,Stockholm to London Heathrow,November 2019,3.0,5.0,5.0,,5.0,,4,yes
Boeing 777-300,Couple Leisure,Economy Class,London to Sydney via Singapore,November 2019,3.0,4.0,4.0,2.0,3.0,,4,yes
Boeing 747-400,Couple Leisure,Business Class,London to New York JFK,November 2019,1.0,4.0,3.0,1.0,1.0,,1,no
Boeing 777-200,Solo Leisure,Business Class,Gatwick to Bridgetown,December 2019,3.0,2.0,3.0,3.0,3.0,,2,no
Boeing 777,Business,Business Class,Brussels to Bangkok via London,November 2019,4.0,2.0,2.0,3.0,4.0,,3,no
Boeing 777-200,Business,Economy Class,San Francisco to Oslo via London,November 2019,1.0,2.0,2.0,,1.0,,1,no
,Couple Leisure,Economy Class,Los Angeles to Berlin via London,November 2019,3.0,1.0,,,1.0,,1,no
A380,Couple Leisure,Business Class,London to Johannesburg ,November 2019,3.0,3.0,3.0,3.0,3.0,,3,yes
,Business,Premium Economy,London to Bangalore,November 2019,4.0,4.0,2.0,,2.0,,2,no
,Solo Leisure,Economy Class,London to Sydney via Singapore,November 2019,5.0,5.0,3.0,,5.0,,5,yes
,Solo Leisure,Economy Class,Lisbon to London,November 2019,1.0,,,,1.0,,1,no
,Solo Leisure,Economy Class,London Heathrow to Glasgow,November 2019,4.0,3.0,,,4.0,,2,no
Boeing 787-9,Family Leisure,Economy Class,doha to londonDoha to London,November 2019,5.0,5.0,4.0,4.0,5.0,,5,yes
,Family Leisure,Economy Class,London to Buenos Aires,November 2019,2.0,3.0,2.0,1.0,3.0,1.0,2,no
A380,Couple Leisure,Economy Class,San Francisco to London,November 2019,4.0,2.0,3.0,2.0,3.0,,3,no
Boeing 777-300,Business,Business Class,Sydney to Singapore,November 2019,1.0,1.0,1.0,1.0,2.0,1.0,1,no
Boeing 777,Family Leisure,Economy Class,London to Mauritius,November 2019,1.0,4.0,1.0,1.0,1.0,1.0,2,no
,Business,Business Class,Los Angeles to Amsterdam via London,November 2019,5.0,5.0,5.0,5.0,5.0,5.0,5,yes
Boeing 747-400,Solo Leisure,Economy Class,London to Vancouver,November 2019,2.0,2.0,2.0,1.0,2.0,,3,no
Boeing 747-400,Couple Leisure,Economy Class,New York to Paris via London,November 2019,1.0,1.0,1.0,1.0,1.0,2.0,1,no
A320,Couple Leisure,Business Class,London Heathrow to Lisbon,November 2019,4.0,1.0,2.0,,5.0,,2,no
Boeing 777,Solo Leisure,Economy Class,London to Boston,November 2019,4.0,4.0,4.0,4.0,4.0,1.0,3,yes
A320,Business,Economy Class,Tirana to London ,November 2019,4.0,5.0,3.0,5.0,5.0,5.0,5,yes
Boeing 747-400,Solo Leisure,Economy Class,Gatwick to St Lucia,November 2019,5.0,5.0,5.0,5.0,5.0,,5,yes
,Family Leisure,Economy Class,London to Singapore,November 2019,4.0,5.0,4.0,5.0,5.0,,4,yes
,Solo Leisure,Economy Class,London to San Francisco,November 2019,1.0,4.0,3.0,2.0,4.0,,2,no
A320,Couple Leisure,Business Class,Gatwick to Venice,September 2019,4.0,5.0,4.0,,5.0,,4,yes
,Couple Leisure,Economy Class,Bordeaux to Gatwick,September 2019,,,,,,,1,no
Boeing 787-9,Couple Leisure,Business Class,Seychelles to London,October 2019,5.0,5.0,5.0,5.0,4.0,,5,yes
A320,Couple Leisure,Economy Class,London to Belfast,October 2019,3.0,2.0,,,1.0,,2,no
,Business,Premium Economy,London to Cape Town,October 2019,,,,,1.0,,1,no
Boeing 787,Couple Leisure,Business Class,San Jose to London,October 2019,2.0,4.0,4.0,1.0,3.0,,2,no
A321neo,Solo Leisure,Economy Class,London Heathrow to Edinburgh,October 2019,1.0,3.0,1.0,,3.0,,3,yes
Boeing 777-200,Family Leisure,Economy Class,Gatwick to Barbados,October 2019,4.0,4.0,4.0,5.0,5.0,5.0,5,yes
Boeing 777,Couple Leisure,Economy Class,Toronto to London,October 2019,3.0,5.0,5.0,5.0,5.0,,5,yes
,Solo Leisure,Economy Class,Jeddah to London,October 2019,1.0,1.0,1.0,5.0,1.0,,1,no
,Business,Economy Class,Zurich to London,October 2019,1.0,1.0,,,2.0,,3,no
A380,Couple Leisure,Business Class,San Francisco to London,October 2019,5.0,5.0,5.0,4.0,5.0,,4,yes
A319,Solo Leisure,Business Class,London to Belfast,October 2019,5.0,5.0,5.0,,5.0,,5,yes
,Couple Leisure,Economy Class,London Gatwick to Salzburg ,April 2019,2.0,3.0,3.0,2.0,2.0,2.0,2,no
,Business,Economy Class,Frankfurt to London,October 2019,1.0,4.0,2.0,,1.0,,1,no
,Business,Economy Class,Hyderabad to San Francisco via London,October 2019,3.0,5.0,2.0,3.0,3.0,,3,no
Boeing 747-400,Business,Business Class,Vancouver to London,October 2019,4.0,1.0,1.0,4.0,3.0,,2,no
A320,Solo Leisure,Economy Class,London to Malaga,October 2019,1.0,1.0,,,1.0,,1,no
A320,Business,Economy Class,Brussels to London,October 2019,4.0,4.0,,,1.0,,2,no
Boeing 777,Couple Leisure,Premium Economy,London to Singapore,October 2019,1.0,1.0,1.0,,3.0,,1,no
Boeing 787,Solo Leisure,Premium Economy,Kuala Lumpur to Glasgow via London,October 2019,5.0,1.0,2.0,3.0,2.0,,1,no
Boeing 787-900,Couple Leisure,Business Class,London Heathrow to Seychelles,October 2019,5.0,5.0,5.0,5.0,5.0,,5,yes
,Couple Leisure,Economy Class,Edinburgh to London Heathrow,October 2019,3.0,3.0,,,1.0,,1,no
A321,Couple Leisure,Economy Class,Amman to London,September 2019,4.0,4.0,4.0,4.0,4.0,,4,yes
A320,Business,Economy Class,London to Athens,October 2019,3.0,2.0,,,4.0,,2,no
Boeing 777,Couple Leisure,Economy Class,New York JFK to London,October 2019,1.0,2.0,1.0,1.0,1.0,,1,no
Boeing 777-200,Couple Leisure,Premium Economy,Buenos Aires to London Heathrow,September 2019,1.0,3.0,1.0,1.0,4.0,,1,no
"Boeing 787-9, A320-200",Solo Leisure,Economy Class,Mexico City to Barcelona via London Heathrow,September 2019,5.0,4.0,4.0,4.0,4.0,,3,yes
A319,Couple Leisure,Economy Class,Bari to London Gatwick,September 2019,4.0,5.0,4.0,,4.0,,5,yes
Boeing 787,Couple Leisure,Premium Economy,Abu Dhabi to London Heathrow,September 2019,1.0,3.0,1.0,,4.0,,1,no
Boeing 787-900,Couple Leisure,Economy Class,London Heathrow to Abu Dhabi,October 2019,5.0,5.0,5.0,4.0,5.0,3.0,4,yes
,Couple Leisure,Economy Class,Johannesburg to Amsterdam via London,September 2019,4.0,5.0,1.0,1.0,1.0,2.0,2,no
A350,Business,Business Class,Dubai to London Heathrow,September 2019,5.0,5.0,5.0,3.0,5.0,4.0,4,yes
,Solo Leisure,Economy Class,Istanbul to New York via London,October 2019,3.0,3.0,3.0,3.0,1.0,,1,no
,Couple Leisure,Economy Class,Rome to London Heathrow,October 2019,2.0,5.0,5.0,,5.0,,5,yes
A320,Business,Economy Class,London to Athens,October 2019,1.0,3.0,,,1.0,,1,no
A320,Solo Leisure,Economy Class,London Heathrow to Newcastle,October 2019,4.0,4.0,,,5.0,,4,yes
,Solo Leisure,Economy Class,Calgary to Gothenburg via London,September 2019,1.0,4.0,3.0,4.0,4.0,,3,yes
Boeing 787-9,Family Leisure,Economy Class,Kuala Lumpur to London,October 2019,5.0,5.0,5.0,5.0,5.0,,5,yes
Boeing 747,Couple Leisure,Business Class,Austin to London,October 2019,3.0,3.0,3.0,,3.0,,4,yes
Boeing 787,Couple Leisure,Premium Economy,London to Kuala Lumpur,August 2019,5.0,4.0,3.0,4.0,4.0,4.0,4,yes
,Couple Leisure,Premium Economy,Newark to Madrid via London,October 2019,3.0,3.0,1.0,3.0,3.0,1.0,3,no
,Couple Leisure,Business Class,Kos to Gatwick,October 2019,4.0,3.0,2.0,,1.0,2.0,3,no
A320,Business,Business Class,Gatwick to Alicante,September 2019,5.0,5.0,5.0,5.0,2.0,,5,yes
A380,Solo Leisure,Premium Economy,Vancouver to London,September 2019,5.0,5.0,4.0,4.0,4.0,,4,yes
,Couple Leisure,Economy Class,Gatwick to Alicante,September 2019,1.0,3.0,,,3.0,,1,no
Boeing 747,Couple Leisure,Business Class,London Heathrow to Austin,September 2019,4.0,5.0,4.0,2.0,3.0,,5,yes
Boeing 747,Couple Leisure,Business Class,London Heathrow to Austin,September 2019,4.0,4.0,4.0,1.0,4.0,,4,yes
,Couple Leisure,Economy Class,London Gatwick to Jersey,September 2019,,,,,,,1,no
