Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended
,Couple Leisure,Economy Class,Heathrow to Manchester ,August 2021,,,,,1.0,,1,no
,Business,Business Class,London to Jersey,September 2021,2.0,1.0,,,1.0,,1,no
,Solo Leisure,Premium Economy,Denver to London,October 2021,5.0,5.0,,,5.0,,5,yes
A321,Business,Economy Class,Belfast to London,September 2021,4.0,3.0,3.0,,4.0,,5,yes
A320,Couple Leisure,Economy Class,Manchester to Aberdeen via Heathrow,August 2021,1.0,1.0,1.0,,1.0,1.0,1,no
,Couple Leisure,Business Class,London Heathrow to Tenerife south,September 2021,3.0,1.0,2.0,,1.0,,1,no
,Business,Business Class,London to New York,September 2021,3.0,1.0,1.0,2.0,3.0,2.0,4,no
A320,Couple Leisure,Business Class,London Heathrow to Larnaca,September 2021,3.0,3.0,3.0,,3.0,2.0,3,yes
A320,Family Leisure,Business Class,London to Lisbon,September 2021,3.0,5.0,4.0,,3.0,4.0,4,yes
Embraer,Solo Leisure,Economy Class,Frankfurt to London,September 2021,4.0,4.0,1.0,,1.0,,1,no
,Business,Economy Class,Geneva to Sao Paulo via London,October 2020,,,,,,,1,no
